study_id,label,authors,title,journal,year,volume,issue,pages,doi,pmid,record_type,matched_by
S01,Bwaka 1999,Bwaka MA; Bonnet MJ; Calain P; Colebunders R; De Roo A; Guimard Y; Katwiki KR; Kibadi K; Kipasa MA; Kuvula KJ; Mapanda BB; Massamba M; Mupapa KD; Muyembe-Tamfum JJ; Ndaberey E; Peters CJ; Rollin PE; Van den Enden E; Van den Enden E,"Ebola hemorrhagic fever in Kikwit, Democratic Republic of the Congo: clinical observations in 103 patients",J Infect Dis,1999,179 Suppl 1,,S1-7,10.1086/514308,9988155,Journal article,filename
S02,Kaweesa 2025,Kaweesa RE; Katende JS; Odoch G; Ntabadde AD; Wayesu RR; Mukisa D; Ejou P; On Behalf Of The FiloStudy Team; Kaleebu P; Serwanga J,Two Decades Later: Long-Term Multisystem Sequelae and Subclinical Organ Dysfunction in Sudan Ebola Virus (SUDV) Survivors of the 2000 Outbreak,Viruses,2025,17,11,,10.3390/v17111410,41305432,Journal article,filename
S03,Clark 2015,Clark DV; Kibuuka H; Millard M; Wakabi S; Lukwago L; Taylor A; Eller MA; Eller LA; Michael NL; Honko AN; Olinger GG; Schoepp RJ; Hepburn MJ; Hensley LE; Robb ML,"Long-term sequelae after Ebola virus disease in Bundibugyo, Uganda: a retrospective cohort study",Lancet Infect Dis,2015,15,8,905-12,10.1016/S1473-3099(15)70152-0,25910637,Journal article,filename
S04,Shantha 2022,Shantha JG; Canady D; Hartley C; Cassedy A; Miller C; Angeles-Han ST; Harrison-Williams LCM; Vandy MJ; Weil N; Bastien G; Yeh S,Ophthalmic sequelae and psychosocial impact in pediatric ebola survivors,EClinicalMedicine,2022,49,,101483,10.1016/j.eclinm.2022.101483,35747182,Journal article,filename
S05,Amuzu 2021,Amuzu C; James PB; Bah AJ; Bayoh AVS; Singer SR,Post-Ebola sequelae among Ebola child survivors in Sierra Leone,BMC Pediatr,2021,21,1,482,10.1186/s12887-021-02957-w,34717580,Journal article,filename
S06,Balendra 2024,Balendra S; Harrison-Williams L; Mustapha J; Koroma Z; Kamara A; Saradugu B; Conteh O; Kanu T; Kamara S; Koroma SA; Vandy M; Ward L; Wang H; Fashina T; Shantha J; Yeh S; Kennedy A,Clinical characteristics and aetiology of uveitis in a viral haemorrhagic fever zone,Eye (Lond),2024,38,11,2110-2116,10.1038/s41433-024-03009-0,38750125,Journal article,manual(evidence)
S07,Bates 2024,Bates JN; Kamara A; Bereteh MS; Barrera D; Moses L; Sheriff A; Sesay F; Yillah MS; Grant DS; Lamin J; Anglewicz P,"Long-term physical and mental health outcomes of Ebola Virus Disease survivors in Kenema District, Sierra Leone: A cross-sectional survey",PLOS Glob Public Health,2024,4,11,e0003421,10.1371/journal.pgph.0003421,39495749,Journal article,filename
S08,Choo 2024,Choo CH; Ward L; Crozier I; Fashina T; Yan D; Hayek BR; Hartley C; Vandy M; Mattia JG; Harrison-Williams L; Mustapha J; Drews-Botsch C; Yeh S; Shantha J,"Ophthalmic Sequelae of Ebola Virus Disease in Survivors, Sierra Leone",Emerg Infect Dis,2024,30,12,2502-9,10.3201/eid3012.240425,39592396,Journal article,filename
S09,Diallo 2021,Diallo MSK; Toure A; Sow MS; Kpamou C; Keita AK; Taverne B; Peeters M; Msellati P; Barry TA; Etard JF; Ecochard R; Delaporte E; PostEboGui Study Group,"Understanding Long-term Evolution and Predictors of Sequelae of Ebola Virus Disease Survivors in Guinea: A 48-Month Prospective, Longitudinal Cohort Study (PostEboGui)",Clin Infect Dis,2021,73,12,2166-2174,10.1093/cid/ciab168,33621316,Journal article,filename
S10,Etard 2017,Etard JF; Sow MS; Leroy S; Toure A; Taverne B; Keita AK; Msellati P; Magassouba N; Baize S; Raoul H; Izard S; Kpamou C; March L; Savane I; Barry M; Delaporte E; Postebogui Study Group,Multidisciplinary assessment of post-Ebola sequelae in Guinea (Postebogui): an observational cohort study,Lancet Infect Dis,2017,17,5,545-552,10.1016/S1473-3099(16)30516-3,28094208,Journal article,first-author+year
