study_id,first_author,year_published,country,outbreak_year,outcome,outcome_key,tier,n_cases,n_examined,prevalence_pct,ci_reported,species,assessment_timing,examiner_type,study_design,cohort_group,outbreak_era,pct_female,time_to_exam_months,n_ocular_exam,rob_rating,paediatric_included,denominator_note,n_cases_source,exclusion_note
S01,Bwaka,1999,Democratic Republic of the Congo,1995,Uveitis (any),uveitis_any,Tier1,1,19,5.3,,EBOV,Survivor (>6m),Non-specialist,Cross-sectional,Other,Pre-2013,65.0,,125.0,Moderate,Mixed,true 1/19; CSV 86/250 was Berry eye data,extracted,
S01,Bwaka,1999,Democratic Republic of the Congo,1995,Visual impairment,visual_impairment,Tier1,1,19,5.3,,EBOV,Survivor (>6m),Non-specialist,Cross-sectional,Other,Pre-2013,65.0,,125.0,Moderate,Mixed,'unilateral vision loss' 1/19,extracted,
S04,Shantha,2022,Sierra Leone,2013-2016,Uveitis (any),uveitis_any,Tier1,5,46,10.8,,Not stated,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,64.4,300.0,81.0,Moderate,not stated,,extracted,
S04,Shantha,2022,Sierra Leone,2013-2016,Cataract (any),cataract,Tier1,1,46,2.2,,Not stated,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,64.4,300.0,81.0,Moderate,not stated,,extracted,
S04,Shantha,2022,Sierra Leone,2013-2016,Blindness,blindness,Tier1,3,46,6.5,,Not stated,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,64.4,300.0,81.0,Moderate,not stated,,extracted,
S04,Shantha,2022,Sierra Leone,2013-2016,Glaucoma,glaucoma,Tier2,3,46,6.5,,Not stated,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,64.4,300.0,81.0,Moderate,not stated,,extracted,
S06,Balendra,2023,Sierra Leone,2013-2016,Cataract (any),cataract,Tier1,51,128,39.8,,EBOV,Survivor (>6m),Ophthalmologist,Cross-sectional,Other,Post-2016,50.9,,128.0,Moderate,Mixed,,extracted,
S06,Balendra,2023,Sierra Leone,2013-2016,Blindness,blindness,Tier1,55,168,33.0,,EBOV,Survivor (>6m),Ophthalmologist,Cross-sectional,Other,Post-2016,50.9,,128.0,Moderate,Mixed,,extracted,
S06,Balendra,2023,Sierra Leone,2013-2016,Retinal detachment,retinal_detachment,Tier2,19,128,14.8,,EBOV,Survivor (>6m),Ophthalmologist,Cross-sectional,Other,Post-2016,50.9,,128.0,Moderate,Mixed,,extracted,
S06,Balendra,2023,Sierra Leone,2013-2016,Glaucoma,glaucoma,Tier2,34,128,26.6,,EBOV,Survivor (>6m),Ophthalmologist,Cross-sectional,Other,Post-2016,50.9,,128.0,Moderate,Mixed,,extracted,
S08,Choo,2024,Sierra Leone,2013-2016,Uveitis (any),uveitis_any,Tier1,69,521,13.2,,EBOV,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,54.7,42.3,521.0,Moderate,No,,extracted,
S08,Choo,2024,Sierra Leone,2013-2016,Anterior uveitis,anterior_uveitis,Tier2,34,521,6.5,,EBOV,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,54.7,42.3,521.0,Moderate,No,re-based to survivors (was /69 uveitis cases) | Denominator may be among uveitis patients — verify,extracted,
S08,Choo,2024,Sierra Leone,2013-2016,Posterior uveitis,posterior_uveitis,Tier2,13,521,2.5,,EBOV,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,54.7,42.3,521.0,Moderate,No,re-based to survivors (was /69) | Denominator may be among uveitis patients — verify,extracted,
S08,Choo,2024,Sierra Leone,2013-2016,Panuveitis,panuveitis,Tier2,15,521,2.9,,EBOV,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,54.7,42.3,521.0,Moderate,No,re-based to survivors (was /69) | Denominator may be among uveitis patients — verify,extracted,
S08,Choo,2024,Sierra Leone,2013-2016,Cataract (any),cataract,Tier1,62,521,11.9,,EBOV,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,54.7,42.3,521.0,Moderate,No,,extracted,
S08,Choo,2024,Sierra Leone,2013-2016,Visual impairment,visual_impairment,Tier1,94,521,18.0,,EBOV,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,54.7,42.3,521.0,Moderate,No,true denom 521 (was 110),extracted,
S08,Choo,2024,Sierra Leone,2013-2016,Optic neuropathy,optic_neuropathy,Tier2,6,521,1.2,,EBOV,Long-term (>2y),Ophthalmologist,Cross-sectional,Other,Post-2016,54.7,42.3,521.0,Moderate,No,,extracted,
S10,Etard,2017,Guinea,2013-16,Uveitis (any),uveitis_any,Tier1,11,802,1.0,,EBOV,Survivor (>6m),Non-specialist,Cohort,PostEboGui,2014-2016,55.0,11.5,802.0,Low-Moderate,Yes,,extracted,
S10,Etard,2017,Guinea,2013-16,Anterior uveitis,anterior_uveitis,Tier2,11,802,1.0,,EBOV,Survivor (>6m),Non-specialist,Cohort,PostEboGui,2014-2016,55.0,11.5,802.0,Low-Moderate,Yes,,extracted,
S10,Etard,2017,Guinea,2013-16,Cataract (any),cataract,Tier1,11,802,1.0,,EBOV,Survivor (>6m),Non-specialist,Cohort,PostEboGui,2014-2016,55.0,11.5,802.0,Low-Moderate,Yes,,extracted,
S10,Etard,2017,Guinea,2013-16,Visual impairment,visual_impairment,Tier1,101,802,13.0,,EBOV,Survivor (>6m),Non-specialist,Cohort,PostEboGui,2014-2016,55.0,11.5,802.0,Low-Moderate,Yes,,extracted,
S10,Etard,2017,Guinea,2013-16,Blindness,blindness,Tier1,2,802,0.25,,EBOV,Survivor (>6m),Non-specialist,Cohort,PostEboGui,2014-2016,55.0,11.5,802.0,Low-Moderate,Yes,,extracted | pct computed from n/N,
S10,Etard,2017,Guinea,2013-16,Glaucoma,glaucoma,Tier2,9,802,1.0,,EBOV,Survivor (>6m),Non-specialist,Cohort,PostEboGui,2014-2016,55.0,11.5,802.0,Low-Moderate,Yes,,extracted,
S15,Steptoe,2020,Sierra Leone,2013-2016,Posterior uveitis,posterior_uveitis,Tier2,2,57,3.5,,EBOV,Survivor (>6m),Ophthalmologist,Cohort,Steptoe-Freetown,Post-2016,64.9,,57.0,Moderate,,,extracted,
S15,Steptoe,2020,Sierra Leone,2013-2016,Visual impairment,visual_impairment,Tier1,2,57,3.5,,EBOV,Survivor (>6m),Ophthalmologist,Cohort,Steptoe-Freetown,Post-2016,64.9,,57.0,Moderate,,,extracted,
S15,Steptoe,2020,Sierra Leone,2013-2016,GRD / Ebola retinal lesion,grd,Tier2,10,57,17.5,,EBOV,Survivor (>6m),Ophthalmologist,Cohort,Steptoe-Freetown,Post-2016,64.9,,57.0,Moderate,,,extracted,
S15,Steptoe,2020,Sierra Leone,2013-2016,Chorioretinitis,chorioretinitis,Tier2,2,57,3.5,,EBOV,Survivor (>6m),Ophthalmologist,Cohort,Steptoe-Freetown,Post-2016,64.9,,57.0,Moderate,,,extracted,
S17,Tiffany,2016,Sierra Leone,2013-2016,Uveitis (any),uveitis_any,Tier1,58,166,34.9,,EBOV,Post-acute (1-6m),Ophthalmologist,Cohort,Other,2014-2016,44.5,1.7,97.0,Moderate,Yes,,extracted,
