"outcome","k","pool_pct","ci_lo","ci_hi","pi_lo","pi_hi","I2","tau2"
"Uveitis (any)",15,12.8,7.6,19.1,0,44.1,97.4,0.02534
"Cataract (any)",12,11.7,6.2,18.4,0,43,96.1,0.02461
"Visual impairment",8,10,3.1,19.9,0,52.7,97.8,0.03682
"Blindness",7,7.5,1,18.6,0,57.5,98.2,0.04841
"Anterior uveitis",8,6.9,3.1,11.9,0,28.7,93.1,0.01372
"Posterior uveitis",6,4.6,2.5,7.2,0.2,13.4,66.4,0.00281
"Panuveitis",5,3.7,1.6,6.5,0,14.2,75.6,0.00362
"Optic neuropathy",6,2.7,1,5.3,0,12.5,75.3,0.00436
"Retinal detachment",4,3.9,0,13,0,47.2,89.7,0.02187
"Chorioretinitis",4,3.7,0.1,10.7,0,39.1,91.9,0.01735
"GRD / Ebola retinal lesion",4,12.4,8.5,16.8,4.8,22.6,17.8,0.00073
"Glaucoma",3,8.8,0,32.9,0,100,97.7,0.06984
"Vitreous opacities",4,4.7,1.8,8.8,0,23.5,92.2,0.00628
